Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
22313,2023-02-27,Sporting CP,Estoril,29501,29741,29501,1,0,weekday,22
19072,2023-02-27,Vitoria de Guimaraes,Braga,13968,13985,13968,0,0,weekday,22
4689,2023-03-03,Boavista,Arouca,6724,3986,6724,0,0,weekend,23
56995,2023-03-03,Benfica,Famalicao,55462,59157,55462,1,0,weekend,23
4474,2023-03-04,Portimonense,Sporting CP,1774,1026,1774,0,1,weekend,23
5568,2023-03-04,Chaves,FC Porto,3555,2959,3555,0,1,weekend,23
1815,2023-03-04,Estoril,Vizela,2582,1544,2582,0,0,weekend,23
9456,2023-03-05,Braga,Rio Ave,15098,13365,15098,0,0,weekend,23
1598,2023-03-05,Santa Clara,Vitoria de Guimaraes,2870,4333,2870,0,0,weekend,23
5243,2023-03-05,Gil Vicente,Maritimo,3879,3008,3879,0,0,weekend,23
530,2023-03-06,Casa Pia AC,Pacos de Ferreira,3894,1198,3894,0,0,weekday,23
29116,2023-03-10,FC Porto,Estoril,42936,39116,42936,1,0,weekend,24
3301,2023-03-11,Chaves,Portimonense,3738,4226,3738,0,0,weekend,24
3601,2023-03-11,Pacos de Ferreira,Santa Clara,4334,5456,4334,0,0,weekend,24
21717,2023-03-11,Vitoria de Guimaraes,Arouca,14393,13792,14393,0,0,weekend,24
3682,2023-03-11,Vizela,Braga,3248,4100,3248,0,0,weekend,24
27535,2023-03-12,Sporting CP,Boavista,28848,29393,28848,1,0,weekend,24
10547,2023-03-12,Maritimo,Benfica,7930,9624,7930,0,1,weekend,24
3036,2023-03-12,Rio Ave,Gil Vicente,2740,3341,2740,0,0,weekend,24
2729,2023-03-13,Famalicao,Casa Pia AC,3735,3618,3735,0,0,weekday,24
912,2023-03-17,Santa Clara,Rio Ave,2764,1632,2764,0,0,weekend,25
1284,2023-03-18,Portimonense,Vizela,1999,2264,1999,0,0,weekend,25
1048,2023-03-18,Arouca,Pacos de Ferreira,1718,2181,1718,0,0,weekend,25
59374,2023-03-18,Benfica,Vitoria de Guimaraes,55589,57390,55589,1,0,weekend,25
